State,City,County,Ownership,Use,LocationID,SiteNumber,ARPLatitude,ARPLongitude
AK,FIVE FINGER,JUNEAU,PU,PR,2AK3,50228.4*H,57-16-11.7710N,133-37-53.2250W
AK,FLAT,KUSKOKWIM,PU,PU,FLT,50230.*A,62-27-09.5360N,157-59-20.6520W
AK,FORT RICHARDSON(ANCHORAGE),ANCHORAGE,MR,PR,FRN,50036.5*A,61-15-57.2375N,149-39-11.9075W
AK,FORT YUKON,UPPER YUKON,PU,PU,FYU,50235.*A,66-34-20.7000N,145-14-46.8000W
AK,FUNTER BAY,ANGOON,PU,PU,FNR,50250.*C,58-15-15.7890N,134-53-52.4640W
AK,GALBRAITH LAKE,NOME,PU,PU,GBH,50257.5*A,68-28-46.8000N,149-29-23.7000W
AK,GALENA,YUKON-KOYUKUK,PU,PU,GAL,50258.*A,64-44-10.2000N,156-56-14.6000W
AK,GAMBELL,NOME,PU,PU,GAM,50260.*A,63-45-59.8000N,171-43-58.0000W
AK,GIRDWOOD,ANCHORAGE,PU,PU,AQY,50270.1*A,60-57-57.9450N,149-07-32.8410W
AK,GLACIER CREEK,CORDOVA-MCCARTHY,PU,PU,KGZ,50272.*A,61-27-18.4840N,142-22-51.4230W
AK,GOLDEN HORN LODGE,BRISTOL BAY,PR,PU,3Z8,50274.2*C,59-44-49.3420N,158-52-29.0190W
AK,GOLOVIN,NOME,PU,PU,GLV,50275.01*A,64-33-01.6390N,163-00-25.8130W
AK,GOODNEWS,BETHEL,PU,PU,GNU,50277.*A,59-07-04.3000N,161-34-25.2000W
AK,GOOSE BAY,ANCHORAGE,PU,PU,Z40,50278.6*A,61-23-40.0250N,149-50-33.6650W
