originapt,destapt,tbl,quart,origincity,destcity,origin,destination,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,numrecs
ALB,GSP,Table 6,20082,01580,33530,"Albany, New York, USA","Greenville/Spartanburg, Sc, USA",706,51.538461538,178.10328358,US,52.878464819,175.61669355,DL,31.982942431,172.62333333,91
ALB,HOU,Table 6,20082,01580,37320,"Albany, New York, USA","Houston, Texas, USA",1495,113.40659341,256.5848062,WN,32.65503876,214.48243323,WN,32.65503876,214.48243323,92
ALB,HSV,Table 6,20082,01580,37550,"Albany, New York, USA","Huntsville, Alabama, USA",895,13.846153846,216.03952381,US,57.936507937,202.26438356,US,57.936507937,202.26438356,93
ALB,IND,Table 6,20082,01580,38490,"Albany, New York, USA","Indianapolis, Indiana, USA",682,70.43956044,168.48971919,NW,33.697347894,122.91625,NW,33.697347894,122.91625,94
ALB,JAN,Table 6,20082,01580,40080,"Albany, New York, USA","Jackson/Vicksburg, Mississippi, USA",1144,12.967032967,200.09881356,WN,30.508474576,232.57777778,NW,29.661016949,155.17257143,95
ALB,JAX,Table 6,20082,01580,40140,"Albany, New York, USA","Jacksonville, Florida, USA",951,85.494505495,181.03434447,US,55.01285347,176.82161215,US,55.01285347,176.82161215,96
ALB,MCI,Table 6,20082,01580,42650,"Albany, New York, USA","Kansas City, Missouri, USA",1115,59.230769231,211.13044527,NW,27.829313544,174.3684,NW,27.829313544,174.3684,97
ALB,TYS,Table 6,20082,01580,45540,"Albany, New York, USA","Knoxville, Tennessee, USA",725,26.373626374,275.06604167,US,29.583333333,308.98225352,NW,13.75,207.90151515,98
ALB,LAS,Table 6,20082,01580,48880,"Albany, New York, USA","Las Vegas, Nevada, USA",2237,262.74725275,212.76199916,WN,68.590547888,207.91742073,CO,6.6499372647,204.20698113,99
ALB,LEX,Table 6,20082,01580,49850,"Albany, New York, USA","Lexington/Frankfort, Kentucky, USA",655,18.571428571,158.27633136,NW,30.769230769,135.72038462,NW,30.769230769,135.72038462,100
